path,data_type,market,symbol,start_time,end_time,frequency,rows,size,schema,missingness,duplicate_rate,usable_status,notes
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,api_events,web3_local_smoke,,,,snapshot/event,0,114688,"id:INTEGER, run_id:TEXT, tier:TEXT, endpoint:TEXT, method:TEXT, requested_at_ms:INTEGER, completed_at_ms:INTEGER, http_status:INTEGER, business_code:INTEGER, latency_ms:REAL, transport_error:TEXT, retry_after:TEXT, params_json:TEXT, body_json:TEXT, response_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,market_state,web3_local_smoke,,2026-09-15T18:32:45.821000+00:00,2026-09-15T19:27:45.821000+00:00,snapshot/event,72,114688,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, symbol:TEXT, price:REAL, price_change_5m:REAL, price_change_1h:REAL, volume_5m:REAL, buy_volume_5m:REAL, sell_volume_5m:REAL, txs_5m:REAL, liquidity:REAL, market_cap:REAL, holders:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,DEX token market snapshot
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,token_state,web3_local_smoke,,,,snapshot/event,0,114688,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, state_type:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,candles,web3_local_smoke,,,,1m,0,114688,"id:INTEGER, run_id:TEXT, chain:TEXT, token:TEXT, bar:TEXT, candle_ts_ms:INTEGER, open:REAL, high:REAL, low:REAL, close:REAL, volume:REAL, trade_count:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,1m candle-like DEX token data
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,quotes,web3_local_smoke,,2026-09-15T18:32:45.821000+00:00,2026-09-15T19:27:45.821000+00:00,snapshot/event,36,114688,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, from_token:TEXT, to_token:TEXT, amount_in:TEXT, amount_out:TEXT, vendor:TEXT, quote_id:TEXT, trade_fee:TEXT, gas_fee:TEXT, price_impact_percent:REAL, route_count:INTEGER, route_spread_bps:REAL, latency_ms:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,DEX aggregator quote observations
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/demo.db,trades,web3_local_smoke,,,,snapshot/event,0,114688,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, trade_ts_ms:INTEGER, wallet:TEXT, side:TEXT, amount:TEXT, price:REAL, tag:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,EMPTY,DEX token trades
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,api_events,web3_local_smoke,,2026-09-15T19:34:59.415000+00:00,2026-09-15T19:35:04.530000+00:00,snapshot/event,8,176128,"id:INTEGER, run_id:TEXT, tier:TEXT, endpoint:TEXT, method:TEXT, requested_at_ms:INTEGER, completed_at_ms:INTEGER, http_status:INTEGER, business_code:INTEGER, latency_ms:REAL, transport_error:TEXT, retry_after:TEXT, params_json:TEXT, body_json:TEXT, response_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,market_state,web3_local_smoke,,2026-09-15T19:34:59.415000+00:00,2026-09-15T19:34:59.415000+00:00,snapshot/event,2,176128,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, symbol:TEXT, price:REAL, price_change_5m:REAL, price_change_1h:REAL, volume_5m:REAL, buy_volume_5m:REAL, sell_volume_5m:REAL, txs_5m:REAL, liquidity:REAL, market_cap:REAL, holders:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,DEX token market snapshot
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,token_state,web3_local_smoke,,2026-09-15T19:34:59.415000+00:00,2026-09-15T19:34:59.415000+00:00,snapshot/event,2,176128,"id:INTEGER, run_id:TEXT, observed_at_ms:INTEGER, chain:TEXT, token:TEXT, state_type:TEXT, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,local research metadata
/Users/vanirli/Desktop/加密市场套利/alpha-lab-os/data/live-smoke-fixed.db,candles,web3_local_smoke,,2026-09-15T18:36:00+00:00,2026-09-15T19:35:00+00:00,1m,119,176128,"id:INTEGER, run_id:TEXT, chain:TEXT, token:TEXT, bar:TEXT, candle_ts_ms:INTEGER, open:REAL, high:REAL, low:REAL, close:REAL, volume:REAL, trade_count:REAL, raw_json:TEXT",not computed for SQLite source inventory,0.0,REUSABLE_LOCAL_WEB3_NOT_CEX,1m candle-like DEX token data
